cat	year	split			URL	Final AGENT	Final EVENTS	Final WORLD	Final Composite	3rd person	Adjudicated AGENTS	Adjudicated EVENTS	Adjudicated WORLD	MEAN	STDEV	Agents mean	Events mean	World mean	Agents std	Events std	World std	A1 average	A1 agents	A1 events	A1 world	A2 average	A2 agents	A2 events	A2 world	A3 average	A3 agents	A3 events	A3 world
Grammy_ALT	1996	test	Alanis Morissette	Forgiven	https://www.azlyrics.com/lyrics/alanismorissette/forgiven.html	4.67	4	4.33	4.333					4.33	0.54	4.67	4	4.33	0.47	0.82	0.47	4.33	5	4	4	3.67	4	3	4	5	5	5	5
Grammy_NOM	1996	train	Alanis Morissette	You Oughta Know	https://www.azlyrics.com/lyrics/alanismorissette/yououghtaknow.html	5	3.33	3	3.777					3.78	0.87	5	3.33	3	0	1.25	1.41	3	5	2	2	3.33	5	3	2	5	5	5	5
Billboard	1972	train	Alice Cooper	School's Out	https://www.azlyrics.com/lyrics/alicecooper/schoolsout.html	1	2	4	2.333		1	2	4	2.44	1.1	1.67	2.67	3	0.94	1.25	1.63	1.67	1	1	3	1.67	1	3	1	4	3	4	5
Billboard	1977	train	Alice Cooper	You and Me	https://www.azlyrics.com/lyrics/alicecooper/youandme.html	3.67	2.33	2.33	2.777					2.78	0.96	3.67	2.33	2.33	0.47	1.25	1.25	2.67	4	2	2	1.67	3	1	1	4	4	4	4
Grammy_NOM	2002	train	Alicia Keys	Fallin'	https://www.azlyrics.com/lyrics/aliciakeys/fallin.html	3	2.33	1	2.110					2.11	0.87	3	2.33	1	1.41	1.25	0	1.33	2	1	1	3.33	5	4	1	1.67	2	2	1
Grammy_NOM	2005	train	Alicia Keys	If I Ain't Got You	https://www.azlyrics.com/lyrics/aliciakeys/ifiaintgotyou.html	3.67	1.67	1.67	2.337					2.33	0.27	3.67	1.67	1.67	1.25	0.47	0.94	2	4	1	1	2.67	5	2	1	2.33	2	2	3
Grammy_ALT	2002	train	Alicia Keys	The Life	https://www.azlyrics.com/lyrics/aliciakeys/thelife.html	4	2	1	2.333		4	2	1	3	1.44	3	3.33	2.67	1.41	1.7	1.7	2.33	2	4	1	5	5	5	5	1.67	2	1	2
Grammy_ALT	2005	train	Alicia Keys	Wake Up	https://www.azlyrics.com/lyrics/aliciakeys/wakeup.html	2	2	2	2.000		2	2	2	3.22	1.13	3.67	3.33	2.67	1.25	1.7	0.94	1.67	2	1	2	3.67	5	4	2	4.33	4	5	4
Billboard	1995	dev	All-4-One	I Can Love You Like That	https://www.azlyrics.com/lyrics/all4one/icanloveyoulikethat.html	3.33	3	3.33	3.220					3.22	0.31	3.33	3	3.33	0.47	1.41	1.7	3.67	3	4	4	3	4	4	1	3	3	1	5
Billboard	2014	train	Aloe Blacc	The Man	https://www.azlyrics.com/lyrics/aloeblacc/theman.html	4.67	2.67	2	3.113					3.11	0.83	4.67	2.67	2	0.47	1.25	1.41	2	4	1	1	3.33	5	4	1	4	5	3	4
Grammy_NOM	1992	train	Amy Grant	Baby Baby	https://www.azlyrics.com/lyrics/amygrant/babybaby.html	3.33	2	1.67	2.333					2.33	0.98	3.33	2	1.67	1.7	0.82	0.94	1	1	1	1	2.67	5	2	1	3.33	4	3	3
Grammy_ALT	1992	dev	Amy Grant	How Can We See That Far	https://www.azlyrics.com/lyrics/amygrant/howcanweseethatfar.html	4.67	4.67	3	4.113					4.11	0.68	4.67	4.67	3	0.47	0.47	1.41	3.33	4	4	2	4	5	5	2	5	5	5	5
Grammy_ALT	2008	train	Amy Winehouse	Just Friends	https://www.azlyrics.com/lyrics/amywinehouse/justfriends.html	4	2	1	2.333		4	2	1	3	1.25	4	2.67	2.33	1.41	1.25	1.25	1.33	2	1	1	3.33	5	3	2	4.33	5	4	4
Grammy_NOM	2008	train	Amy Winehouse	Rehab	https://www.azlyrics.com/lyrics/amywinehouse/rehab.html	4.67	4.67	3	4.113					4.11	0.42	4.67	4.67	3	0.47	0.47	0.82	4	5	5	2	3.67	4	4	3	4.67	5	5	4
Billboard	1978	train	Andy Gibb	An Everlasting Love	https://www.azlyrics.com/lyrics/andygibb/aneverlastinglove.html	3.33	3	1.67	2.667					2.67	0.72	3.33	3	1.67	0.94	0.82	0.47	3	4	3	2	3.33	4	4	2	1.67	2	2	1
Grammy_NOM	1965	test	Andy Williams	Dear Heart	https://www.azlyrics.com/lyrics/andywilliams/dearheart.html	2	2	2	2.000		2	2	2	3.222	1.257	3.333	2.667	3.667	1.247	1.7	0.943	2.33	3	1	3	5	5	5	5	2.33	2	2	3
Grammy_NOM	1961	dev	Andy Williams	Second Time Around	https://www.azlyrics.com/lyrics/andywilliams/thesecondtimearound.html	2.333	2	1.333	1.889					1.889	0.157	2.333	2	1.333	0.471	0	0.471	2	3	2	1	2	2	2	2	1.67	2	2	1
Grammy_ALT	1961	train	Andy Williams	Love Is A Many-Splendored Thing	https://www.azlyrics.com/lyrics/andywilliams/loveisamanysplendoredthing.html	1.333	2	2	1.778					1.778	0.416	1.333	2	2	0.471	1.414	0.816	1.33	1	1	2	2.33	2	4	1	1.67	1	1	3
Grammy_ALT	1965	test	Andy Williams	Emily	https://www.azlyrics.com/lyrics/andywilliams/emily.html	1	1	2	1.333		1	1	2	1.889	1.03	2	1	2.667	1.414	0	1.7	1.33	1	1	2	1	1	1	1	3.33	4	1	5
Grammy_NOM	1989	dev	Anita Baker	Giving You the Best That I Got	https://www.azlyrics.com/lyrics/anitabaker/givingyouthebestthatigot.html	3.33	2	1.67	2.333					2.33	0.82	3.33	2	1.67	0.94	0.82	0.94	1.33	2	1	1	2.33	4	2	1	3.33	4	3	3
Grammy_ALT	1989	dev	Anita Baker	Good Enough	https://www.azlyrics.com/lyrics/anitabaker/goodenough.html	3	1.67	1.33	2.000					2	0.47	3	1.67	1.33	0.82	0.47	0.47	1.33	2	1	1	2.33	4	2	1	2.33	3	2	2
Billboard	2013	test	Anna Kendrick	Cups (Pitch Perfect's When I'm Gone)	https://www.azlyrics.com/lyrics/annakendrick/cupspitchperfectswhenimgone.html	3.33	2.67	2.33	2.777					2.78	0.57	3.33	2.67	2.33	0.94	1.25	1.89	2	4	1	1	3	4	4	1	3.33	2	3	5
Billboard	1979	train	Anne Murray	I Just Fall in Love Again	https://www.azlyrics.com/lyrics/annemurray/ijustfallinloveagain.html	3	2	1	2.000		3	2	1	2.89	1.1	4	2.67	2	0.82	1.25	1.41	1.67	3	1	1	2.67	4	3	1	4.33	5	4	4
Billboard	1968	train	Aretha Franklin	Think	https://www.azlyrics.com/lyrics/arethafranklin/think.html	1.667	1	1	1.222					1.222	0.157	1.667	1	1	0.471	0	0	1.33	2	1	1	1	1	1	1	1.33	2	1	1
Billboard	2016	train	Ariana Grande	Dangerous Woman	https://www.azlyrics.com/lyrics/arianagrande/dangerouswoman.html	4	1.67	1	2.223					2.22	0.68	4	1.67	1	1.41	0.94	0	1.33	2	1	1	2.33	5	1	1	3	5	3	1
Billboard	2016	train	Ariana Grande featuring Nicki Minaj	Side to Side	https://www.azlyrics.com/lyrics/arianagrande/sidetoside.html	3.33	2.33	1.67	2.443					2.44	0.31	3.33	2.33	1.67	0.94	0.47	0.47	2.67	4	2	2	2.67	4	3	1	2	2	2	2
Billboard	1987	dev	Atlantic Starr	Always	https://www.azlyrics.com/lyrics/atlanticstarr/always.html	3.33	1.67	1.33	2.110					2.11	0.31	3.33	1.67	1.33	0.47	0.47	0.47	1.67	3	1	1	2.33	4	2	1	2.33	3	2	2
Billboard	1986	dev	Atlantic Starr	Secret Lovers	https://www.azlyrics.com/lyrics/atlanticstarr/secretlovers.html	4.67	3.33	2.67	3.557					3.56	0.63	4.67	3.33	2.67	0.47	1.7	0.94	2.67	5	1	2	4	5	5	2	4	4	4	4
Grammy_NOM	2003	train	Avril Lavigne	Complicated	https://www.azlyrics.com/lyrics/avrillavigne/complicated.html	4.33	4	3	3.777					3.78	0.83	4.33	4	3	0.47	0.82	1.41	4.67	5	5	4	2.67	4	3	1	4	4	4	4
Grammy_NOM	2004	train	Avril Lavigne	I'm with You	https://www.azlyrics.com/lyrics/avrillavigne/imwithyou.html	4.33	4.33	3.67	4.110					4.11	0.57	4.33	4.33	3.67	0.47	0.47	1.25	3.33	4	4	2	4.33	5	4	4	4.67	4	5	5
Grammy_ALT	2003	test	Avril Lavigne	Losing Grip	https://www.azlyrics.com/lyrics/avrillavigne/losinggrip.html	3.67	3.67	2	3.113					3.11	0.68	3.67	3.67	2	1.25	0.47	1.41	2.33	2	4	1	3	5	3	1	4	4	4	4
Billboard	2004	dev	Avril Lavigne	My Happy Ending	https://www.azlyrics.com/lyrics/avrillavigne/myhappyending.html	4.33	4	2	3.443					3.44	0.68	4.33	4	2	0.47	0.82	0.82	4.33	5	5	3	2.67	4	3	1	3.33	4	4	2
Grammy_ALT	2004	train	Avril Lavigne	Unwanted	https://www.azlyrics.com/lyrics/avrillavigne/unwanted.html	4.67	4	1.67	3.447					3.44	0.16	4.67	4	1.67	0.47	0	0.94	3.33	5	4	1	3.33	5	4	1	3.67	4	4	3
Billboard	1997	dev	Az Yet	Last Night	https://www.azlyrics.com/lyrics/azyet/lastnight.html	4	4.33	2.67	3.667					3.67	0.94	4	4.33	2.67	0.82	0.47	1.7	3	4	4	1	3	3	4	2	5	5	5	5
Grammy_ALT	1970	train	B. J. Thomas	If you Must Leave My Life	https://www.azlyrics.com/lyrics/bjthomas/ifyoumustleavemylife.html	3	1.33	1	1.777					1.78	0.31	3	1.33	1	0.82	0.47	0	1.33	2	1	1	2	4	1	1	2	3	2	1
Grammy_NOM	1970	test	B. J. Thomas	Raindrops Keep Fallin' on My Head	https://www.azlyrics.com/lyrics/bjthomas/raindropskeepfallinonmyhead.html	4.67	4.33	4	4.333					4.33	0.47	4.67	4.33	4	0.47	0.47	0.82	4	5	4	3	5	5	5	5	4	4	4	4
Billboard	1966	train	B. J. Thomas & the Triumphs	I'm So Lonesome I Could Cry	https://www.azlyrics.com/lyrics/bjthomas/imsolonesomeicouldcry.html	2.667	1	3.667	2.445					2.444	0.314	2.667	1	3.667	0.471	0	1.247	2.67	3	1	4	2	3	1	2	2.67	2	1	5
Billboard	1970	train	B.J. Thomas	I Just Can't Help Believing	https://www.azlyrics.com/lyrics/bjthomas/ijustcanthelpbelieving.html	2.33	1.67	1	1.667					1.67	0	2.33	1.67	1	0.47	0.47	0	1.67	2	2	1	1.67	3	1	1	1.67	2	2	1
Billboard	2002	test	B2K	Uh Huh	https://www.azlyrics.com/lyrics/b2k/uhhuh.html	4.67	4.33	2.67	3.890					3.89	0.83	4.67	4.33	2.67	0.47	0.94	1.7	3	4	3	2	3.67	5	5	1	5	5	5	5
Billboard	1994	train	Babyface	When Can I See You	https://www.azlyrics.com/lyrics/babyface/whencaniseeyouagain.html	2.67	2	1	1.890					1.89	0.57	2.67	2	1	0.47	1.41	0	1.33	2	1	1	1.67	3	1	1	2.67	3	4	1
Billboard	1990	train	Babyface	Whip Appeal	https://www.azlyrics.com/lyrics/babyface/whipappeal.html	3.67	1.67	2	2.447					2.44	0.31	3.67	1.67	2	0.47	0.47	0.82	2.67	4	2	2	2	4	1	1	2.67	3	2	3
Billboard	1999	test	Backstreet Boys	All I Have to Give	https://www.azlyrics.com/lyrics/backstreetboys/allihavetogive.html	3.33	1.67	2	2.333					2.33	0.72	3.33	1.67	2	0.94	0.94	0.82	1.67	2	1	2	2	4	1	1	3.33	4	3	3
Grammy_ALT	2000	train	Backstreet Boys	Don't Want You Back	https://www.azlyrics.com/lyrics/backstreetboys/dontwantyouback.html	4.67	4	2.67	3.780					3.78	0.87	4.67	4	2.67	0.47	0.82	1.7	3.33	4	4	2	3	5	3	1	5	5	5	5
Grammy_NOM	2000	train	Backstreet Boys	I Want It That Way	https://www.azlyrics.com/lyrics/backstreetboys/iwantitthatway.html	2.33	1.33	1.33	1.663					1.67	0.72	2.33	1.33	1.33	1.25	0.47	0.47	1.33	2	1	1	2.67	4	2	2	1	1	1	1
Billboard	1975	train	Bad Company	Feel Like Makin' Love	https://www.azlyrics.com/lyrics/badcompany/feellikemakinlove.html	2.33	1.67	1.33	1.777					1.78	0.16	2.33	1.67	1.33	0.47	0.47	0.47	1.67	2	2	1	1.67	3	1	1	2	2	2	2
Grammy_NOM	1965	dev	Barbara Streisand	People	https://www.azlyrics.com/lyrics/barbrastreisand/peoplefromfunnygirl.html	3	1	1	1.667		3	1	1	2.222	1.286	2.333	2	2.333	1.247	1.414	1.247	1.67	2	1	2	4	4	4	4	1	1	1	1
Grammy_ALT	1965	train	Barbara Streisand	I Want To Be Seen With You Tonight	https://www.azlyrics.com/lyrics/barbrastreisand/iwanttobeseenwithyoutonight.html	3.333	3	4.333	3.555					3.556	0.629	3.333	3	4.333	0.471	1.414	0.471	2.67	3	1	4	4	4	4	4	4	3	4	5
Grammy_NOM	1978	train	Barbra Streisand	Evergreen (Love Theme from A Star Is Born)	https://www.azlyrics.com/lyrics/barbrastreisand/evergreenlovethemefromastarisborn.html	3	2.33	2.33	2.553					2.56	0.87	3	2.33	2.33	0.82	1.25	1.25	3.33	4	4	2	1.33	2	1	1	3	3	2	4
Grammy_ALT	1978	dev	Barbra Streisand	I Believe in Love	https://www.azlyrics.com/lyrics/barbrastreisand/ibelieveinlove.html	3.33	1.33	2.67	2.443					2.44	0.16	3.33	1.33	2.67	0.94	0.47	1.25	2.67	4	1	3	2.33	4	2	1	2.33	2	1	4
Grammy_NOM	1981	train	Barbra Streisand	Woman in Love	https://www.azlyrics.com/lyrics/barbrastreisand/womaninlove.html	3.67	2.33	2	2.667					2.67	0.98	3.67	2.33	2	1.25	1.25	0.82	1.33	2	1	1	3	5	2	2	3.67	4	4	3
Grammy_ALT	1981	train	Barbra Streisand	Promises	https://www.azlyrics.com/lyrics/barbrastreisand/promises.html	2	1	1	1.333					1.33	0.27	2	1	1	0.82	0	0	1	1	1	1	1.67	3	1	1	1.33	2	1	1
Billboard	1978	dev	Barry Manilow	Copacabana	https://www.azlyrics.com/lyrics/barrymanilow/copacabanaatthecopa.html	5	5	5	5.000	1				5	0	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
Billboard	1981	dev	Barry Manilow	I Made It Through the Rain	https://www.azlyrics.com/lyrics/barrymanilow/imadeitthroughtherain.html	3	4	5	4.000		3	4	5	3.67	1.25	3.33	3.67	4	1.25	1.25	1.41	2	2	2	2	5	5	5	5	4	3	4	5
Grammy_NOM	1977	train	Barry Manilow	I Write the Songs	https://www.azlyrics.com/lyrics/barrymanilow/iwritethesongs.html	4.33	2	2.67	3.000					3	0.27	4.33	2	2.67	0.47	0.82	0.47	3.33	4	3	3	3	5	2	2	2.67	4	1	3
Grammy_ALT	1977	train	Barry Manilow	New York City Rhythm	https://www.azlyrics.com/lyrics/barrymanilow/newyorkcityrhythm.html	4.67	3	4.67	4.113					4.11	0.68	4.67	3	4.67	0.47	1.63	0.47	5	5	5	5	4	5	3	4	3.33	4	1	5
Billboard	1974	train	Barry White	Never, Never Gonna Give You Up	https://www.azlyrics.com/lyrics/barrywhite/nevernevergonnagiveyouup.html	3	1.33	1	1.777					1.78	0.31	3	1.33	1	0.82	0.47	0	1.33	2	1	1	2	3	2	1	2	4	1	1
Grammy_NOM	1965	train	Beatles	Hard Days Night	https://www.azlyrics.com/lyrics/beatles/aharddaysnight.html	3.667	3.333	2	3.000					3	0.272	3.667	3.333	2	0.471	1.247	0.816	3	4	3	2	3.33	4	5	1	2.67	3	2	3
Grammy_NOM	1967	dev	Beatles	Michelle	https://www.azlyrics.com/lyrics/beatles/michelle.html	2.333	1.667	2	2.000					2	0.72	2.333	1.667	2	0.471	0.943	0.816	1.67	2	1	2	3	3	3	3	1.33	2	1	1
Grammy_NOM	1966	train	Beatles	Yesterday	https://www.azlyrics.com/lyrics/beatles/yesterday.html	4.333	3.333	1.333	3.000					3	0.272	4.333	3.333	1.333	0.471	0.943	0.471	2.67	4	2	2	3	4	4	1	3.33	5	4	1
Grammy_ALT	1965	train	Beatles	Tell Me Why	https://www.azlyrics.com/lyrics/beatles/tellmewhy.html	2.333	2	1	1.778					1.778	0.314	2.333	2	1	0.471	0.816	0	1.33	2	1	1	2	2	3	1	2	3	2	1
Grammy_ALT	1966	test	Beatles	It's Only Love	https://www.azlyrics.com/lyrics/beatles/itsonlylove.html	2.333	1.333	1.333	1.666					1.667	0.272	2.333	1.333	1.333	0.471	0.471	0.471	1.67	3	1	1	2	2	2	2	1.33	2	1	1
Grammy_ALT	1967	dev	Beatles	What Goes On	https://www.azlyrics.com/lyrics/beatles/whatgoeson.html	2.667	3	1	2.222					2.222	0.875	2.667	3	1	1.247	1.414	0	3	4	4	1	1	1	1	1	2.67	3	4	1
Billboard	1971	train	Bee Gees	How Can You Mend a Broken Heart	https://www.azlyrics.com/lyrics/beegees/howcanyoumendabrokenheart.html	3.33	2.33	2.67	2.777					2.78	0.57	3.33	2.33	2.67	1.25	0.94	1.7	2	3	1	2	3	5	3	1	3.33	2	3	5
Billboard	1976	train	Bee Gees	You Should Be Dancing	https://www.azlyrics.com/lyrics/beegees/youshouldbedancing.html	3	1.33	1	1.777					1.78	0.42	3	1.33	1	0.82	0.47	0	1.33	2	1	1	2.33	4	2	1	1.67	3	1	1
Billboard	1988	dev	Belinda Carlisle	Heaven Is a Place on Earth	https://www.azlyrics.com/lyrics/belindacarlisle/heavenisaplaceonearth.html	3.33	3.33	4	3.553					3.56	0.31	3.33	3.33	4	0.47	0.94	0.82	3.33	3	4	3	4	4	4	4	3.33	3	2	5
Grammy_NOM	1991	train	Bette Midler	From a Distance	https://www.azlyrics.com/lyrics/bettemidler/fromadistance.html	1	1.33	3	1.777					1.78	0.63	1	1.33	3	0	0.47	1.41	1.33	1	1	2	2.67	1	2	5	1.33	1	1	2
Grammy_ALT	1981	train	Bette Midler	Let me Call you Sweetheart	https://www.azlyrics.com/lyrics/bettemidler/letmecallyousweetheart.html	2.33	1	1	1.443					1.44	0.42	2.33	1	1	1.25	0	0	1.33	2	1	1	2	4	1	1	1	1	1	1
Grammy_NOM	1981	train	Bette Midler	The Rose	https://www.azlyrics.com/lyrics/bettemidler/therose.html	1	2	3	2.000					2	0.82	1	2	3	0	1.41	1.41	2	1	1	4	3	1	4	4	1	1	1	1
Grammy_NOM	1990	train	Bette Midler	Wind Beneath My Wings	https://www.azlyrics.com/lyrics/bettemidler/windbeneathmywings.html	5	2	2	3.000		5	2	2	3.22	1.13	3.67	3	3	1.25	1.41	0.82	1.67	2	1	2	4.33	5	4	4	3.67	4	4	3
Grammy_ALT	1990	train	Bette Midler	I've Still Got My Health	https://www.azlyrics.com/lyrics/bettemidler/ivestillgotmyhealth.html	4.33	2.33	4	3.553					3.56	0.57	4.33	2.33	4	0.47	1.25	0.82	3.33	4	1	5	3	4	2	3	4.33	5	4	4
Grammy_ALT	1991	test	Bette Midler	The Gift Of Love	https://www.azlyrics.com/lyrics/bettemidler/thegiftoflove.html	3	1.33	2.33	2.220					2.22	0.96	3	1.33	2.33	1.63	0.47	1.25	1	1	1	1	3.33	5	1	4	2.33	3	2	2
Grammy_ALT	2021	train	Beyoncé	Already	https://www.azlyrics.com/lyrics/beyonceknowles/already.html	1.33	2	3	2.110					2.11	0.57	1.33	2	3	0.47	0.82	1.63	2.33	1	1	5	2.67	2	3	3	1.33	1	2	1
Grammy_NOM	2021	dev	Beyoncé	Black Parade	https://www.azlyrics.com/lyrics/beyonceknowles/blackparade.html	5	4.33	5	4.777	0				4.78	0.31	5	4.33	5	0	0.94	0	5	5	5	5	4.33	5	3	5	5	5	5	5
Grammy_NOM	2023	test	Beyoncé	Break My Soul	https://www.azlyrics.com/lyrics/beyonceknowles/breakmysoul.html	3	3	2	2.667		3	3	2	3.11	1.34	3	3	3.33	1.41	1.63	1.25	5	5	5	5	2	2	1	3	2.33	2	3	2
Grammy_ALT	2010	train	Beyoncé	Disappear	https://www.azlyrics.com/lyrics/beyonceknowles/disappear.html	3.67	4.33	2	3.333					3.33	0.82	3.67	4.33	2	1.25	0.47	1.41	2.33	2	4	1	3.33	5	4	1	4.33	4	5	4
Grammy_NOM	2017	test	Beyoncé	Formation	https://www.azlyrics.com/lyrics/beyonceknowles/formation.html	4.33	2.67	4.67	3.890					3.89	0.68	4.33	2.67	4.67	0.94	0.94	0.47	4	5	2	5	3	3	2	4	4.67	5	4	5
Billboard	2007	train	Beyoncé	Irreplaceable	https://www.azlyrics.com/lyrics/beyonceknowles/irreplaceable.html	4.33	5	3.67	4.333					4.33	0.47	4.33	5	3.67	0.47	0	0.94	4	4	5	3	4	4	5	3	5	5	5	5
Billboard	2004	test	Beyoncé	Me, Myself and I	https://www.azlyrics.com/lyrics/beyonceknowles/memyselfi.html	4.67	3.67	2	3.447					3.44	0.83	4.67	3.67	2	0.47	1.25	0.82	2.33	4	2	1	3.67	5	4	2	4.33	5	5	3
Billboard	2014	test	Beyoncé	Partition	https://www.azlyrics.com/lyrics/beyonceknowles/yoncpartition.html	5	5	4.67	4.890	0				4.89	0.16	5	5	4.67	0	0	0.47	5	5	5	5	4.67	5	5	4	5	5	5	5
